geneId	readCount	Coverage	FPKM	TPM
AT5G20720	14859	942.726318	720.345703	1100.827637
AT4G24715	0	0.0	0.0	0.0
AT2G42380	525	19.335636	14.003393	21.399895
AT3G59923	0	0.0	0.0	0.0
AT3G45420	74	1.589677	1.009193	1.542242
AT3G16320	64	1.576305	1.119605	1.710973
AT3G48320	476	21.961140	13.941845	21.305838
ATCG01120	377	105.722878	67.117279	102.568192
AT2G05270	0	0.0	0.0	0.0
AT1G67070	60	1.929931	1.512546	2.311463
AT1G36920	0	0.000000	0.000000	0.000000
AT5G23990	12	0.356633	0.239050	0.365315
AT4G39404	0	0.000000	0.000000	0.000000
AT5G04205	11	1.145897	0.727463	1.111704
AT2G09640	24	2.081766	1.321591	2.019648
AT4G07270	0	0.0	0.0	0.0
AT5G53020	442	8.159238	5.779427	8.832082
AT5G43300	16	0.642734	0.428413	0.654698
AT4G09460	114	8.150672	5.174386	7.907463
AT1G51970	0	0.0	0.0	0.0
AT3G58000	30	2.468786	1.567288	2.395119
AT2G47700	636	28.975197	19.284866	29.471010
AT4G36600	3	0.111111	0.070538	0.107796
AT1G64633	1	0.000795	0.000505	0.000771
AT5G19560	4	0.097009	0.062009	0.094761
AT1G33120	5483	404.714569	256.929626	392.638214
AT3G22470	64	2.297005	1.487979	2.273920
AT3G47090	27	0.572722	0.363588	0.555632
AT3G28216	0	0.0	0.0	0.0
AT5G26190	28	1.148709	0.729248	1.114432
AT3G51210	0	0.0	0.0	0.0
AT4G03570	0	0.0	0.0	0.0
AT5G07060	17	0.726598	0.570327	0.871570
AT3G53840	7	0.221027	0.140317	0.214432
AT5G06735	0	0.0	0.0	0.0
AT4G18770	0	0.000000	0.000000	0.000000
AT5G43535	0	0.0	0.0	0.0
AT4G39240	524	25.941845	16.912558	25.845659
AT5G13470	103	6.396508	6.100931	9.323402
AT1G17640	91	3.918787	2.745882	4.196239
AT5G01130	0	0.0	0.0	0.0
AT2G25050	496	7.772861	6.109352	9.336271
AT2G37670	14	0.312142	0.198161	0.302828
AT1G60890	457	9.943878	6.969521	10.650777
AT2G24195	2	0.170371	0.113299	0.173143
AT4G35670	0	0.0	0.0	0.0
AT4G27050	267	8.949145	6.405680	9.789119
AT4G26040	0	0.0	0.0	0.0
AT1G15460	0	0.000000	0.000000	0.000000
AT5G02315	1	0.019980	0.012684	0.019384
AT2G40008	2	0.091333	0.057982	0.088608
AT2G08425	0	0.000000	0.000000	0.000000
AT1G25550	946	37.413631	26.243216	40.104713
AT2G34480	8368	582.692688	443.151672	677.221497
AT1G16650	142	4.972779	3.605151	5.509367
AT1G48650	1920	32.599209	21.231920	32.446484
AT4G07325	0	0.0	0.0	0.0
AT3G12990	173	8.235130	6.629591	10.131297
AT2G06200	31	1.410256	1.490270	2.277421
AT5G11250	312	4.875655	3.781336	5.778614
AT3G48275	0	0.0	0.0	0.0
AT1G18360	901	28.404198	24.515707	37.464745
AT2G38130	240	16.542896	10.646575	16.270027
AT3G15590	821	25.900419	17.737097	27.105717
AT1G23800	238	8.668537	5.978846	9.136834
AT1G04827	2	0.140071	0.088923	0.135891
AT3G26690	133	8.559013	5.585088	8.535095
AT1G32230	3552	50.703697	60.895317	93.059837
AT3G51450	254	13.856515	9.228755	14.103324
AT5G04590	9882	222.887817	141.498459	216.237030
AT3G60328	0	0.000000	0.000000	0.000000
AT1G07553	0	0.0	0.0	0.0
AT5G58530	171	9.217985	5.851961	8.942927
AT4G04985	0	0.0	0.0	0.0
AT1G50930	0	0.000000	0.000000	0.000000
AT3G07365	0	0.000000	0.000000	0.000000
AT4G14490	94	3.929094	2.494352	3.811853
AT5G39635	0	0.0	0.0	0.0
AT1G22950	323	14.399282	9.714038	14.844931
AT1G64950	1263	46.157650	29.302797	44.780342
AT5G43513	0	0.0	0.0	0.0
AT5G30490	364	19.599424	14.558015	22.247463
AT1G14520	117	2.906344	3.672220	5.611862
AT5G57815	489	33.942020	37.170673	56.803978
AT4G38920	2871	120.050362	138.659561	211.898636
AT3G53270	281	10.041183	8.771713	13.404876
AT4G01510	93	4.299935	4.214538	6.440630
AT1G30974	0	0.0	0.0	0.0
AT1G06543	0	0.000000	0.000000	0.000000
AT5G22608	62	2.739697	3.006289	4.594191
AT3G11380	0	0.0	0.0	0.0
AT1G15700	0	0.000000	0.000000	0.000000
AT5G11410	46	2.354615	1.615917	2.469434
AT1G70640	63	2.808318	1.782837	2.724520
AT1G53655	0	0.0	0.0	0.0
AT3G02010	0	0.000000	0.000000	0.000000
AT4G39870	339	14.448689	9.484494	14.494143
AT5G67180	187	7.503343	6.109414	9.336367
AT1G60160	692	17.677011	11.222101	17.149544
AT3G08645	1	0.177818	0.112886	0.172512
AT1G16770	14	0.456742	0.481912	0.736455
AT1G48770	93	5.842898	4.731004	7.229890
AT5G60900	60	1.544031	0.980215	1.497958
AT1G68500	53	3.871160	2.457573	3.755648
AT5G51545	923	75.587975	47.986389	73.332489
AT2G36740	337	13.246445	9.249313	14.134742
AT4G06850	0	0.000000	0.000000	0.000000
AT1G53910	1836	72.128738	47.335590	72.337936
AT1G11175	83	7.753919	4.922510	7.522548
AT4G24970	191	4.868583	3.296159	5.037168
AT1G79580	4	0.108623	0.075941	0.116053
AT2G45640	701	54.701042	38.250134	58.453606
AT2G41990	154	7.524462	4.776842	7.299938
AT2G28540	823	17.541109	11.378081	17.387911
AT5G26860	1199	26.258253	16.669832	25.474730
AT2G47460	16	0.733418	0.465604	0.711533
AT2G43795	0	0.000000	0.000000	0.000000
AT4G18650	0	0.000000	0.000000	0.000000
AT1G28040	0	0.0	0.0	0.0
AT2G06595	2	0.407625	0.258777	0.395462
AT3G01630	3	0.076190	0.051465	0.078648
AT2G21300	1310	27.442081	19.408735	29.660305
AT1G56110	3666	144.761459	91.900589	140.441895
AT2G05840	1222	58.789314	42.624821	65.138977
AT5G29210	0	0.0	0.0	0.0
AT4G35750	2	0.085582	0.054331	0.083028
AT3G44560	0	0.000000	0.000000	0.000000
AT4G16360	819	34.484253	23.054033	35.231026
AT4G02100	288	9.198041	5.839299	8.923579
AT2G40925	0	0.0	0.0	0.0
AT2G37750	20	1.988935	1.262659	1.929587
AT3G57570	380	7.570573	4.960809	7.581075
AT1G61340	69	3.525988	3.341250	5.106077
AT2G23680	75	3.789691	2.838600	4.337931
AT5G53905	0	0.000000	0.000000	0.000000
AT3G60320	2682	69.859329	44.349606	67.774780
AT1G30550	0	0.000000	0.000000	0.000000
AT5G38950	0	0.0	0.0	0.0
AT1G36005	0	0.000000	0.000000	0.000000
AT3G11260	15	1.021863	0.648721	0.991371
AT3G06040	818	42.989468	43.800697	66.935944
AT4G22485	1404	53.389481	33.893864	51.796379
AT4G09545	0	0.0	0.0	0.0
AT1G27910	405	10.218666	6.487234	9.913750
AT1G04450	0	0.0	0.0	0.0
AT3G27325	693	11.278141	8.297049	12.679496
AT4G32190	1135	30.701660	19.490690	29.785547
AT4G18160	179	5.899867	3.745481	5.723820
AT5G22600	0	0.0	0.0	0.0
AT3G23570	776	35.657265	30.581095	46.733833
AT5G64600	196	7.139228	4.859176	7.425761
AT3G07050	1581	57.030304	36.205208	55.328568
AT1G58310	0	0.0	0.0	0.0
AT5G51700	244	10.337868	9.998789	15.280083
AT1G77885	60	4.210826	2.673208	4.085178
AT2G30050	718	39.566910	25.118719	38.386265
AT2G04825	0	0.0	0.0	0.0
AT4G39790	31	0.905524	0.574864	0.878504
AT1G71350	312	11.524679	7.316346	11.180792
AT4G20670	0	0.0	0.0	0.0
AT2G38880	245	11.335409	10.610591	16.215036
AT1G16890	1247	73.807289	63.756638	97.432480
AT1G59740	179	6.048460	3.839814	5.867979
AT3G19550	25	1.947141	1.236126	1.889040
AT3G13600	25	0.779698	0.494985	0.756432
AT1G52140	102	7.175306	4.555182	6.961201
AT1G57800	0	0.0	0.0	0.0
AT5G06820	6	0.165118	0.104824	0.160191
AT3G22961	4	0.237996	0.151090	0.230894
AT4G16280	471	6.590577	6.591393	10.072925
AT4G10500	35	1.879234	1.193016	1.823159
AT1G06597	1	0.000109	0.000069	0.000106
AT2G36330	48	2.605619	1.688164	2.579841
AT1G74940	462	24.837276	15.767735	24.096151
AT1G61730	1030	49.952103	31.711674	48.461575
AT4G33320	36	2.997902	1.903193	2.908447
AT3G03585	0	0.000000	0.000000	0.000000
AT2G39110	21	0.756539	0.519479	0.793864
AT3G27270	72	2.827277	2.997770	4.581172
AT1G11362	0	0.0	0.0	0.0
AT1G60650	342	10.513668	13.638282	20.841936
AT5G46620	244	17.484674	11.099998	16.962946
AT5G18620	1248	24.111107	15.700253	23.993023
AT1G54630	227	14.027476	11.321343	17.301205
AT2G32710	238	7.433590	6.124414	9.359291
AT1G53165	439	11.772467	7.878236	12.039470
AT5G59510	20	1.336449	0.848433	1.296570
AT1G75000	45	2.435507	1.546161	2.362833
AT4G21630	0	0.0	0.0	0.0
AT4G38005	0	0.000000	0.000000	0.000000
AT1G13960	293	8.487626	6.162820	9.417982
AT5G44550	160	12.477628	7.921317	12.105306
AT2G42388	0	0.000000	0.000000	0.000000
AT5G00760	3	2.200000	1.396652	2.134354
AT1G07780	3242	58.015808	111.223991	169.971786
AT3G47341	0	0.000000	0.000000	0.000000
AT2G29090	244	7.591649	6.393046	9.769813
AT3G22100	20	1.718750	1.091134	1.667464
AT3G27840	0	0.000000	0.000000	0.000000
AT1G48160	468	30.525675	25.418304	38.844090
AT2G36290	328	11.015287	8.919604	13.630882
AT1G16160	0	0.000000	0.000000	0.000000
AT2G42260	93	3.844731	3.196364	4.884664
AT4G29420	105	4.616156	2.930528	4.478414
AT3G26850	268	11.498545	8.650551	13.219717
AT1G02300	571	26.229424	19.995424	30.556879
AT1G29590	47	3.365403	2.183174	3.336312
AT1G11765	0	0.0	0.0	0.0
AT5G15970	4375	437.441681	277.706177	424.388794
AT2G04340	273	19.241510	12.311260	18.813988
AT3G04970	131	5.578985	4.188541	6.400901
AT4G32860	1	0.077559	0.049238	0.075245
AT2G19780	229	8.200479	5.206005	7.955783
AT1G05327	0	0.000000	0.000000	0.000000
AT5G41680	11	0.452845	0.308263	0.471085
AT5G57990	2843	69.931450	44.395393	67.844749
AT4G18890	181	6.595599	5.485085	8.382272
AT3G21510	88	4.562283	2.896327	4.426148
AT3G18120	0	0.0	0.0	0.0
AT3G46120	0	0.0	0.0	0.0
AT5G27020	0	0.000000	0.000000	0.000000
AT1G54953	0	0.0	0.0	0.0
AT1G04210	1304	23.882404	15.446039	23.604538
AT2G37678	241	13.057414	11.184966	17.092794
AT1G08427	3	1.143577	0.725990	1.109454
AT2G01950	449	9.078897	5.763662	8.807990
AT5G48900	662	30.108076	19.113859	29.209675
AT5G16900	5	0.093218	0.065464	0.100041
AT1G60770	824	34.305557	21.778593	33.281906
AT4G22010	1490	52.650330	33.424618	51.079285
AT5G06345	0	0.0	0.0	0.0
AT1G18280	0	0.000000	0.000000	0.000000
AT5G28390	3	0.319564	0.202873	0.310028
AT1G05913	5	1.099311	0.697888	1.066508
AT2G40000	304	12.321603	7.822266	11.953937
AT5G07355	1	0.046688	0.029639	0.045295
AT1G55250	571	11.084658	8.635951	13.197404
AT4G11220	657	24.166912	20.203104	30.874252
AT3G43920	254	3.761499	2.471165	3.776418
AT5G01880	138	7.606921	4.829190	7.379937
AT1G76070	46	2.756911	1.750202	2.674647
AT3G12833	0	0.000000	0.000000	0.000000
AT5G61090	0	0.000000	0.000000	0.000000
AT1G69797	0	0.0	0.0	0.0
AT3G59245	0	0.000000	0.000000	0.000000
AT5G51460	357	10.416370	8.952631	13.681354
AT5G13100	585	26.230263	16.652061	25.447573
AT5G25490	97	5.404798	4.087956	6.247189
AT3G25950	2	0.064957	0.041237	0.063019
AT1G26760	136	5.686427	3.609980	5.516748
AT5G61180	0	0.0	0.0	0.0
AT1G72310	274	10.906964	6.924194	10.581509
AT3G56440	88	3.001387	2.470238	3.775002
AT2G33610	452	19.680233	12.493831	19.092991
AT5G52260	0	0.0	0.0	0.0
AT5G02520	97	3.126006	2.376461	3.631692
AT5G17410	324	9.941483	6.416499	9.805652
AT4G08835	5	0.407314	0.258580	0.395160
AT3G17380	71	4.864631	3.088270	4.719474
AT4G14960	11326	445.278412	313.858185	479.636078
AT5G40275	0	0.0	0.0	0.0
AT1G60030	36	1.114928	0.722823	1.104613
AT2G05510	23	1.979834	1.413175	2.159604
AT1G54050	191	12.824799	8.881577	13.572769
AT1G12590	0	0.000000	0.000000	0.000000
AT4G00230	635	9.767313	8.887980	13.582553
AT5G48870	387	55.759697	35.398575	54.095871
AT4G12420	3386	95.713799	70.011230	106.990707
AT5G16870	210	17.249178	12.561914	19.197037
AT1G76730	1070	42.046196	35.050373	53.563755
AT3G19100	738	21.206751	14.059077	21.484991
AT2G09175	0	0.000000	0.000000	0.000000
AT3G01365	0	0.000000	0.000000	0.000000
AT1G05010	5344	262.089600	166.385376	254.269058
AT2G38060	22	0.722853	0.480968	0.735012
AT4G10150	33	2.140695	1.359002	2.076818
AT2G28810	438	16.181324	13.082755	19.992983
AT5G49920	0	0.000000	0.000000	0.000000
AT4G26370	2403	107.931992	79.623184	121.679642
AT3G57450	201	8.768917	5.566874	8.507259
AT3G12700	526	20.734318	14.623263	22.347178
AT1G09407	0	0.0	0.0	0.0
AT5G08670	8236	297.398895	188.801178	288.524750
AT2G27535	0	0.0	0.0	0.0
AT3G18957	0	0.0	0.0	0.0
AT1G67340	268	12.300000	8.550594	13.066963
AT5G50000	1172	44.898312	31.495138	48.130669
AT4G03210	4394	215.922012	137.482529	210.099899
AT3G51570	0	0.0	0.0	0.0
AT2G31750	1179	45.956676	33.993359	51.948429
AT5G56555	0	0.0	0.0	0.0
AT4G28400	356	15.220951	13.113078	20.039322
AT4G01840	126	5.344337	3.392807	5.184866
AT4G40065	125	8.601108	5.460340	8.344458
AT1G63010	1295	25.673462	21.939722	33.528141
AT3G07630	666	28.549519	20.326628	31.063021
AT2G27300	11	0.648069	0.411421	0.628731
AT2G30630	5	0.180019	0.117868	0.180125
AT4G26225	0	0.0	0.0	0.0
AT1G07473	2	0.087662	0.055651	0.085046
AT4G25300	106	5.529041	3.712351	5.673191
AT3G44600	747	23.019737	14.613886	22.332848
AT5G39360	234	13.244512	8.408167	12.849306
AT5G23700	60	1.526037	1.000775	1.529378
AT2G41460	242	7.250101	5.726184	8.750717
AT4G11547	2	0.178872	0.195437	0.298665
AT1G04683	0	0.0	0.0	0.0
AT2G29180	1045	99.072495	62.895336	96.116249
AT1G09263	0	0.000000	0.000000	0.000000
AT1G78140	908	48.835125	31.002567	47.377922
AT3G27331	0	0.0	0.0	0.0
AT4G19010	503	10.965646	7.070267	10.804737
AT2G47990	737	30.490343	19.356539	29.580536
AT1G68660	1248	71.231758	70.786224	108.175049
AT3G28720	736	21.679134	14.215940	21.724707
AT1G30100	3	0.073930	0.046934	0.071724
AT5G15800	7	0.303798	0.192864	0.294733
AT4G06385	0	0.000000	0.000000	0.000000
AT3G47830	51	3.704457	2.351743	3.593919
AT2G22780	1417	53.215179	33.783207	51.627281
AT3G04800	11	1.409171	0.894600	1.367122
AT1G74200	23	0.646531	0.438111	0.669519
AT3G48515	0	0.0	0.0	0.0
AT1G66350	220	7.913545	5.023848	7.677411
AT5G40320	1	0.040562	0.025750	0.039352
AT5G60790	2752	81.489731	51.733070	79.058144
AT4G03450	11	0.336149	0.213401	0.326119
AT4G28760	1058	17.904177	14.284781	21.829910
AT1G70175	0	0.000000	0.000000	0.000000
AT5G08750	334	9.684457	8.172954	12.489855
AT2G41700	1032	11.844841	8.045485	12.295058
AT5G23460	49	3.727743	2.366526	3.616510
AT4G36560	0	0.0	0.0	0.0
AT5G19600	129	3.703191	2.587466	3.954149
AT1G44960	164	10.217789	6.486677	9.912898
AT5G13550	722	22.594950	14.344213	21.920734
AT5G63920	238	5.559319	3.603367	5.506642
AT3G54780	51	1.625430	1.116331	1.705971
AT4G01270	107	4.636496	2.943440	4.498147
AT1G25470	287	11.142561	7.702221	11.770484
AT3G53510	120	3.158674	2.005258	3.064422
AT4G19485	0	0.0	0.0	0.0
AT4G09990	27	1.527735	0.969870	1.482149
AT1G61070	0	0.0	0.0	0.0
AT1G07617	0	0.0	0.0	0.0
AT5G09585	23	8.565754	5.437897	8.310159
AT5G66120	2265	85.816986	62.687386	95.798462
AT1G28370	18	1.116819	0.734564	1.122556
AT3G61680	42	1.068942	0.724565	1.107276
AT5G17250	217	5.422858	3.446876	5.267493
AT1G26400	0	0.0	0.0	0.0
AT4G32080	3	0.171396	0.108809	0.166282
AT3G13445	375	18.159679	13.226864	20.213207
AT2G22125	3178	33.080223	21.000702	32.093136
AT1G20820	0	0.0	0.0	0.0
AT5G44100	1536	46.473362	30.830280	47.114632
AT4G21050	0	0.0	0.0	0.0
AT4G00390	42	2.270051	1.441123	2.202315
AT1G49010	550	30.473022	19.345541	29.563732
AT2G02910	192	7.103190	4.983355	7.615531
AT5G07130	74	2.347121	1.838068	2.808924
AT2G31670	1603	91.698700	58.214149	88.962479
AT1G15990	5	0.128200	0.081387	0.124375
AT4G22666	11	0.920049	0.646443	0.987890
AT1G11640	0	0.0	0.0	0.0
AT3G22550	317	12.770967	8.107540	12.389892
AT1G55865	23	1.207180	1.290653	1.972367
AT1G14315	0	0.000000	0.000000	0.000000
AT1G34320	736	17.964743	12.220052	18.674604
AT3G14920	585	17.281940	10.971293	16.766260
AT1G09767	0	0.0	0.0	0.0
AT3G12460	12	0.805207	0.511179	0.781180
AT5G48240	558	25.577299	21.202019	32.400787
AT5G01060	0	0.000000	0.000000	0.000000
AT5G16240	256	10.157700	7.005451	10.705686
AT3G57210	4	0.184403	0.117067	0.178901
AT5G05920	247	9.104692	7.791438	11.906826
AT3G50530	819	20.118244	13.173178	20.131165
ATCG00410	3	2.643836	1.678417	2.564946
AT5G60870	175	7.610382	5.490375	8.390355
AT4G13520	1261	103.561401	95.005051	145.186096
AT1G13490	0	0.0	0.0	0.0
AT1G16030	123	3.573152	2.268385	3.466532
AT1G48030	7450	229.284042	195.914932	299.395905
AT4G05615	0	0.0	0.0	0.0
AT4G24800	2181	51.944603	38.024178	58.108307
AT3G10620	1216	39.345230	33.128315	50.626476
AT1G80970	38	1.312142	1.415543	2.163223
AT5G03420	1290	43.732800	29.989399	45.829605
AT2G07615	0	0.0	0.0	0.0
AT1G69520	17	1.123748	0.846592	1.293757
AT3G21840	0	0.0	0.0	0.0
AT3G08400	0	0.000000	0.000000	0.000000
AT4G08869	0	0.0	0.0	0.0
AT3G23210	154	7.380155	5.246291	8.017347
AT1G19950	185	9.448052	5.998017	9.166130
AT2G16530	101	3.936845	3.021424	4.617321
AT3G05300	0	0.0	0.0	0.0
AT2G25630	0	0.0	0.0	0.0
AT1G01780	1	0.068808	0.043682	0.066755
AT3G06225	0	0.0	0.0	0.0
AT5G04945	0	0.0	0.0	0.0
AT4G30300	0	0.0	0.0	0.0
AT4G27630	147	4.012132	3.978106	6.079316
AT1G64561	1	0.077397	0.049135	0.075088
AT5G14300	0	0.0	0.0	0.0
AT4G04435	85	6.787173	4.308780	6.584649
AT5G57460	1072	33.769230	21.438112	32.761581
AT1G50480	5118	164.156235	104.213196	159.257950
AT2G45405	0	0.0	0.0	0.0
AT2G09765	0	0.000000	0.000000	0.000000
AT1G23970	172	9.632230	6.126117	9.361894
AT5G12210	670	34.170521	22.118866	33.801903
AT5G67090	14	0.400326	0.254144	0.388381
AT5G44470	0	0.0	0.0	0.0
AT3G49796	0	0.000000	0.000000	0.000000
AT3G63300	216	7.014096	5.812778	8.883050
AT5G07880	0	0.000000	0.000000	0.000000
AT4G17220	25	0.871919	0.553530	0.845902
AT3G05535	0	0.0	0.0	0.0
AT3G06370	108	2.747699	1.949663	2.979463
AT2G35215	0	0.0	0.0	0.0
AT1G58525	0	0.000000	0.000000	0.000000
AT2G15220	57	3.774755	2.396371	3.662119
AT1G26170	725	14.737330	9.645494	14.740182
AT2G24410	0	0.0	0.0	0.0
AT1G65985	58	2.252356	1.579047	2.413090
AT1G10350	341	12.616905	8.009736	12.240427
AT4G05950	0	0.0	0.0	0.0
AT5G55640	192	17.090569	10.849803	16.580599
AT3G20230	1894	139.525482	88.576584	135.362152
AT4G39900	662	32.849468	25.792286	39.415604
AT3G27510	8	0.270429	0.171990	0.262834
AT5G21020	1491	124.176666	78.832512	120.471329
AT5G25960	0	0.0	0.0	0.0
AT5G51990	1	0.074187	0.047097	0.071973
AT5G47680	504	27.156767	17.240244	26.346430
AT5G65420	108	3.922342	3.743585	5.720923
AT2G03140	1186	11.302486	8.364197	12.782112
AT5G59270	0	0.0	0.0	0.0
AT1G31430	62	2.525247	1.613760	2.466138
AT3G52250	1133	14.824012	9.558919	14.607878
AT5G22560	0	0.0	0.0	0.0
AT1G77350	339	28.873432	18.508299	28.284264
AT4G18030	2940	81.409531	51.682156	78.980331
AT5G64560	424	17.321217	11.678127	17.846437
AT3G13432	0	0.0	0.0	0.0
AT3G01285	0	0.0	0.0	0.0
AT5G06075	0	0.0	0.0	0.0
AT1G06720	1268	21.928881	15.837576	24.202881
AT2G09405	0	0.0	0.0	0.0
AT3G19470	49	2.364046	1.500795	2.293505
AT5G57700	280	11.420505	9.263950	14.157109
AT5G12450	0	0.000000	0.000000	0.000000
AT3G20390	4460	287.546417	198.287720	303.022003
AT3G01050	282	10.806071	13.036680	19.922571
AT2G05518	18	2.047231	1.365816	2.087231
AT1G09177	0	0.000000	0.000000	0.000000
AT5G59840	441	24.441204	16.559137	25.305567
AT4G00238	346	18.533237	11.765669	17.980221
AT5G48790	1572	83.686211	62.257595	95.141663
AT5G16790	48	2.412850	1.862354	2.846038
AT4G02550	260	10.882815	7.977240	12.190767
AT1G68150	6	0.285930	0.181520	0.277398
AT5G10120	0	0.0	0.0	0.0
AT1G21910	78	4.138078	2.627024	4.014601
AT4G34120	2892	79.768509	111.081543	169.754089
AT3G02935	0	0.000000	0.000000	0.000000
AT5G52380	187	10.185536	8.357740	12.772245
AT2G24250	83	3.758016	2.392983	3.656942
AT4G08185	0	0.000000	0.000000	0.000000
AT5G61830	228	9.062566	9.003288	13.758768
AT2G34930	235	5.705615	3.622162	5.535364
AT1G76340	239	9.403997	5.970048	9.123389
AT1G35820	0	0.0	0.0	0.0
AT2G43020	1582	56.213268	35.686520	54.535908
AT3G59020	2302	38.578136	26.897509	41.104599
AT3G12545	0	0.000000	0.000000	0.000000
AT1G30470	1319	32.635647	21.012403	32.111019
AT2G10440	0	0.000000	0.000000	0.000000
AT1G09383	0	0.000000	0.000000	0.000000
ATCG00250	4	3.260274	2.069757	3.162990
AT3G55140	395	18.690340	13.289128	20.308361
AT3G15604	0	0.000000	0.000000	0.000000
AT5G26080	0	0.0	0.0	0.0
AT3G47180	20	1.820073	1.155458	1.765764
AT3G21270	298	16.383089	10.400666	15.894231
AT2G07633	1	0.044363	0.028163	0.043039
AT1G20735	2	0.063812	0.040511	0.061908
AT4G06265	9	0.882119	0.560006	0.855797
AT1G53035	245	18.134388	11.512464	17.593273
AT1G04570	38	1.110669	0.818866	1.251386
AT3G26782	1079	21.293390	14.002184	21.398046
AT1G67730	1515	62.431282	39.633972	60.568386
AT2G29830	0	0.0	0.0	0.0
AT1G47220	0	0.0	0.0	0.0
AT5G60240	0	0.000000	0.000000	0.000000
AT3G08760	457	11.503028	8.991140	13.740202
AT5G05005	0	0.0	0.0	0.0
AT3G23450	801	27.656046	19.443670	29.713692
AT4G28170	0	0.000000	0.000000	0.000000
AT2G04070	7	0.304779	0.193486	0.295685
AT1G51800	427	10.183582	6.784999	10.368792
AT3G13560	512	14.496591	10.971417	16.766451
AT5G39280	0	0.0	0.0	0.0
AT4G09815	0	0.000000	0.000000	0.000000
AT3G49300	0	0.000000	0.000000	0.000000
AT1G12211	0	0.000000	0.000000	0.000000
AT4G10660	0	0.0	0.0	0.0
AT2G42910	864	45.157951	28.668144	43.810474
AT4G07175	0	0.0	0.0	0.0
AT1G09010	1737	39.793751	26.723913	40.839306
AT1G08307	0	0.000000	0.000000	0.000000
AT3G41762	23	1.525672	0.968560	1.480147
AT3G26030	1217	36.120792	22.930981	35.042976
AT5G38396	0	0.0	0.0	0.0
AT5G47130	40	2.414815	1.646883	2.516756
AT3G23490	1135	52.947697	46.607471	71.225243
AT5G00845	0	0.0	0.0	0.0
AT2G14755	0	0.0	0.0	0.0
AT1G05407	0	0.0	0.0	0.0
AT5G45920	34	1.033433	1.218661	1.862350
AT3G60760	0	0.0	0.0	0.0
AT1G20620	63378	937.305786	1349.500732	2062.298340
AT5G41060	273	8.532636	6.780891	10.362514
AT5G08240	24	1.145957	0.727501	1.111763
AT1G56233	0	0.0	0.0	0.0
ATCG00290	26	21.021740	13.345474	20.394468
AT1G58602	2819	38.500511	28.767946	43.962994
AT1G11840	6498	222.870560	190.391678	290.955322
AT5G22970	0	0.0	0.0	0.0
AT1G13210	895	15.989985	10.151108	15.512856
AT5G64970	133	4.252156	2.907815	4.443704
AT2G31870	43	1.687338	1.116496	1.706222
AT5G40645	0	0.000000	0.000000	0.000000
AT1G21695	19	1.283554	0.814853	1.245254
AT2G09510	0	0.000000	0.000000	0.000000
AT4G20900	0	0.000000	0.000000	0.000000
AT1G78020	1436	106.091629	67.351379	102.925941
AT1G33370	0	0.0	0.0	0.0
AT2G03905	0	0.000000	0.000000	0.000000
AT2G24290	295	21.800789	13.840047	21.150270
AT4G35025	0	0.000000	0.000000	0.000000
AT4G27180	1080	28.490496	18.935179	28.936617
AT4G15010	307	10.833465	8.066647	12.327397
AT3G13970	58	4.311542	4.406472	6.733943
AT1G05263	0	0.0	0.0	0.0
AT5G01235	0	0.0	0.0	0.0
AT1G68190	601	20.521482	19.002876	29.040071
AT5G17740	0	0.0	0.0	0.0
AT3G56710	80	4.153194	2.644011	4.040561
AT2G37025	93	2.817395	2.462342	3.762936
AT2G25180	581	13.340714	12.014299	18.360174
AT2G17010	0	0.000000	0.000000	0.000000
AT5G19800	2	0.228310	0.144941	0.221497
AT3G16170	359	11.941673	7.617180	11.640525
AT3G48170	1495	51.210854	34.631927	52.924286
AT2G06105	0	0.0	0.0	0.0
AT3G01090	955	29.492378	21.888872	33.450436
AT3G20350	438	10.490359	7.573256	11.573401
AT5G02985	0	0.0	0.0	0.0
AT3G52330	0	0.0	0.0	0.0
AT1G77390	38	1.614360	1.024863	1.566189
AT5G38460	235	7.955285	5.244590	8.014748
AT5G35360	4921	160.580795	114.929298	175.634216
AT1G17510	180	20.152924	12.793914	19.551577
AT3G52748	11	1.880597	1.193881	1.824481
AT1G10230	183	28.719078	18.232065	27.862123
AT1G02420	49	2.413569	1.532234	2.341550
AT5G48750	0	0.000000	0.000000	0.000000
AT5G16750	579	14.339173	9.103104	13.911304
AT4G33760	1561	46.416630	33.460823	51.134609
AT4G29300	0	0.0	0.0	0.0
AT4G02590	636	28.877428	18.904259	28.889366
AT3G61880	87	3.374479	2.142260	3.273787
AT1G18835	6	0.682099	0.433025	0.661746
AT1G04960	359	15.241918	11.665800	17.827600
AT4G01640	0	0.0	0.0	0.0
AT3G29633	3	0.149020	0.097569	0.149105
AT4G05990	0	0.000000	0.000000	0.000000
AT1G10390	1854	33.811451	23.694132	36.209217
AT2G07990	0	0.0	0.0	0.0
AT1G29470	5341	129.405487	83.914322	128.237335
AT1G06613	0	0.000000	0.000000	0.000000
AT1G77230	257	5.613318	4.528088	6.919795
AT2G30830	3	0.122585	0.077822	0.118927
AT1G70510	12	0.469912	0.300291	0.458904
AT3G07830	0	0.000000	0.000000	0.000000
AT3G52290	298	11.682748	7.416694	11.334145
AT3G08515	0	0.000000	0.000000	0.000000
AT5G05585	0	0.0	0.0	0.0
AT4G32342	0	0.0	0.0	0.0
AT3G44800	8	0.583090	0.370170	0.565691
